ID;Название;Вердикт;Status;Длина_Ряда;Среднее_Значение;Станд_Отклонение;Коэф_Вариации;Асимметрия_Сдвига;Эксцесс_Хвостов;Процентиль_75;Процентиль_95;Коэф_Аномалий_Шага;Энтропия_Шеннона;Энтропия_Перестановок;Приближенная_Энтропия_ApEn;Автокорреляция_Лаг1;Автокорреляция_Лаг2;Автокорреляция_Лаг3;Автокорреляция_Лаг4;Автокорреляция_Лаг5;Энергия_Спектра_Фурье;Главная_Частота_Фурье;Пик_Амплитуды_Фурье;Медианная_Частота_Фурье;Дисперсия_Спектра_Фурье;Спектральная_Энтропия_Фурье;Радиус_Векторного_Облака;Физическая_Длина_Змеи;Доля_Оси_PCA_X;Доля_Оси_PCA_Y;Доля_Оси_PCA_Z;Сила_Ротора_Закрутки;Индекс_Сквозных_Дыр;Коэф_Ветвления_Пирсона;Фрактал_Размерность_GP;Показатель_Херста_Памяти;Девиация_Закона_Бенфорда;Доля_Первых_Единиц_Бенфорда;Бенфорд_Хи_Квадрат;Бенфорд_KL_Дивергенция;Бенфорд_Стат_Вердикт
"=""A003468""";Number of minimal 3-covers of a labeled n-set.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.7648;Успешно;"=""18.0""";"=""743379340890147.5""";"=""2638872254244766.0""";"=""3.5498""";"=""3.7648""";"=""12.4472""";"=""3295695591841.75""";"=""3091652729760619.0""";"=""14.63""";"=""4.1699""";"=""-0.0""";"=""0.4258""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.1792070914620433e+33""";"=""1.0""";"=""1.323215165067372e+16""";"=""5.0""";"=""1107103665565136.1""";"=""3.1632""";"=""1445341162270565.0""";"=""1.163149711780811e+16""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""8.443163140746685e+26""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5133""";"=""0.038""";"=""0.3333""";"=""-1.0""";"=""0.3674""";Нетипичный ряд
"=""A003469""";Number of minimal covers of an (n + 1)-set by a collection of n nonempty subsets, a(n) = A035348(n,n-1).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8052;Успешно;"=""30.0""";"=""2147483466.17""";"=""6603056768.17""";"=""3.0748""";"=""3.8052""";"=""14.1771""";"=""175111898.0""";"=""12361452297.3""";"=""14.97""";"=""4.9069""";"=""-0.0""";"=""0.6944""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.9871697560313367e+22""";"=""1.0""";"=""62034249123.09""";"=""8.0""";"=""12617172125.76""";"=""3.8157""";"=""4194063272.73""";"=""37788442205.28""";"=""0.9996""";"=""0.0004""";"=""0.0""";"=""2.044184693973937e+16""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6087""";"=""0.011""";"=""0.2667""";"=""2.8536""";"=""0.0713""";Значим (Хи-Квадрат OK)
"=""A003470""";a(n) = n*a(n-1) - a(n-2) + 1 + (-1)^n.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.4624;Успешно;"=""23.0""";"=""5.359163568701786e+19""";"=""2.3961651070375576e+20""";"=""4.4712""";"=""4.4624""";"=""17.9587""";"=""199776979962401.0""";"=""4.84829547559349e+19""";"=""21.0""";"=""4.4366""";"=""-0.0""";"=""0.3557""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""1.5186551097387506e+43""";"=""1.0""";"=""1.2303060327278395e+21""";"=""6.0""";"=""3.685368172491489e+19""";"=""3.4587""";"=""1.0655190789549238e+20""";"=""1.1775514589557348e+21""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""6.920596732945352e+36""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4926""";"=""0.0232""";"=""0.2609""";"=""-1.0""";"=""0.2025""";Мало данных (Оценка по KL)
"=""A003471""";Number of permutations with no hits on 2 main diagonals.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.5747;Успешно;"=""24.0""";"=""1.519786895297083e+20""";"=""6.977081638950231e+20""";"=""4.5908""";"=""4.5747""";"=""18.968""";"=""240324206618624.0""";"=""1.2433711393530587e+20""";"=""22.05""";"=""4.3868""";"=""0.2668""";"=""0.3139""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""1.0""";"=""0.9999""";"=""1.4583130141810466e+44""";"=""1.0""";"=""3.64175355612435e+21""";"=""6.0""";"=""1.0136164238898851e+20""";"=""3.5844""";"=""3.0293428636032074e+20""";"=""3.4982110715971686e+21""";"=""0.9997""";"=""0.0003""";"=""0.0""";"=""1.4758569384639211e+38""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.493""";"=""0.0525""";"=""0.2857""";"=""-1.0""";"=""0.4456""";Нетипичный ряд
"=""A003472""";a(n) = 2^(n-4)*C(n,4).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.5766;Успешно;"=""24.0""";"=""10644444501.29""";"=""31451183151.69""";"=""2.9547""";"=""3.5766""";"=""12.1415""";"=""1067745280.0""";"=""57278464000.0""";"=""13.2""";"=""4.585""";"=""-0.0""";"=""0.6816""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""0.9998""";"=""2.902065171323214e+23""";"=""1.0""";"=""245318455299.83""";"=""6.0""";"=""46761653599.4""";"=""3.5174""";"=""20182039288.84""";"=""162203005430.67""";"=""0.9983""";"=""0.0017""";"=""0.0""";"=""2.090689532549937e+18""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5899""";"=""0.0369""";"=""0.4583""";"=""-1.0""";"=""0.2447""";Мало данных (Оценка по KL)
"=""A003473""";Generalized Euler phi function (for p=2).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8678;Успешно;"=""39.0""";"=""11934446867.23""";"=""39671701819.63""";"=""3.3241""";"=""3.8678""";"=""14.3678""";"=""300105727.5""";"=""75591371979.9""";"=""12.68""";"=""5.2854""";"=""-0.0""";"=""0.6436""";"=""0.9859""";"=""0.9666""";"=""0.9901""";"=""0.9969""";"=""0.9731""";"=""1.1969083051644956e+24""";"=""1.0""";"=""454309292307.79""";"=""10.0""";"=""110135177066.0""";"=""4.0859""";"=""24725986523.74""";"=""264990037867.51""";"=""0.9049""";"=""0.0785""";"=""0.0165""";"=""2.272281847139203e+20""";"=""0.0""";"=""0.9358""";"=""0.0""";"=""0.624""";"=""0.013""";"=""0.2821""";"=""6.8052""";"=""0.1713""";Значим (Хи-Квадрат OK)
"=""A003474""";Generalized Euler phi function (for p=3).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.6528;Успешно;"=""32.0""";"=""35202709008079.09""";"=""119664941982405.28""";"=""3.3993""";"=""3.6528""";"=""11.9931""";"=""205591139456.0""";"=""234395943251262.97""";"=""17.73""";"=""5.0""";"=""-0.0""";"=""0.5501""";"=""0.9095""";"=""0.9862""";"=""0.9007""";"=""0.9917""";"=""0.8861""";"=""7.3516836623577e+30""";"=""1.0""";"=""1108483767257786.6""";"=""8.0""";"=""293299385908281.44""";"=""3.8279""";"=""73287303359030.17""";"=""792325743973691.2""";"=""0.8371""";"=""0.1594""";"=""0.0035""";"=""4.573850139821558e+27""";"=""0.0""";"=""0.5178""";"=""0.0""";"=""0.6038""";"=""0.0189""";"=""0.3125""";"=""9.0859""";"=""0.1567""";Значим (Хи-Квадрат OK)
"=""A003475""";Expansion of Sum_{k>0} (-1)^(k+1) q^(k^2) / ((1-q)(1-q^3)(1-q^5)...(1-q^(2k-1))).;[Класс 11] Сплетенная Нелинейная Стохастика, Херст Памяти=0.5423;Успешно;"=""105.0""";"=""-0.01""";"=""0.75""";"=""78.7019""";"=""0.0155""";"=""-0.4958""";"=""0.0""";"=""1.0""";"=""2.7""";"=""1.6216""";"=""2.2715""";"=""1.0671""";"=""0.1365""";"=""0.034""";"=""0.2607""";"=""-0.0176""";"=""0.1602""";"=""3097.0""";"=""2.0""";"=""18.41""";"=""25.0""";"=""4.22""";"=""5.3962""";"=""1.21""";"=""164.4""";"=""0.3665""";"=""0.3282""";"=""0.3053""";"=""1.36""";"=""0.5773""";"=""-0.4457""";"=""3.0""";"=""0.5423""";"=""0.5002""";"=""0.9623""";"=""110.4538""";"=""1.5294""";Нетипичный ряд
"=""A003476""";a(n) = a(n-1) + 2*a(n-3).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.7506;Успешно;"=""38.0""";"=""20864272.08""";"=""61914962.82""";"=""2.9675""";"=""3.7506""";"=""14.0513""";"=""2519283.5""";"=""124933014.3""";"=""15.18""";"=""5.2479""";"=""-0.0""";"=""0.7674""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""2.78869010620919e+18""";"=""1.0""";"=""757467382.59""";"=""10.0""";"=""165684459.9""";"=""4.1007""";"=""42238761.64""";"=""394193429.62""";"=""1.0""";"=""0.0""";"=""0.0""";"=""126725544.18""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6396""";"=""0.0033""";"=""0.2895""";"=""1.4319""";"=""0.0308""";Значим (Хи-Квадрат OK)
"=""A003477""";Expansion of 1/((1-2x)(1+x^2)(1-x-2x^3)).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8001;Успешно;"=""31.0""";"=""220321936.97""";"=""673677650.12""";"=""3.0577""";"=""3.8001""";"=""14.1909""";"=""19793066.0""";"=""1280419148.0""";"=""15.01""";"=""4.9542""";"=""-0.0""";"=""0.6778""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""2.180708773989215e+20""";"=""1.0""";"=""6567663398.25""";"=""8.0""";"=""1357592408.58""";"=""3.81""";"=""431540533.81""";"=""3915636633.73""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""36403371276611.18""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6127""";"=""0.0061""";"=""0.3226""";"=""1.8474""";"=""0.0439""";Значим (Хи-Квадрат OK)
"=""A003478""";Expansion of 1/((1-2*x)*(1-x-2*x^3)).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.9412;Успешно;"=""33.0""";"=""1036276011.24""";"=""3279175006.34""";"=""3.1644""";"=""3.9412""";"=""15.3803""";"=""66132495.0""";"=""5983292092.6""";"=""16.01""";"=""5.0444""";"=""-0.0""";"=""0.6471""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.855002359249674e+21""";"=""1.0""";"=""33028619521.67""";"=""8.0""";"=""6830240475.63""";"=""3.9025""";"=""2043705252.51""";"=""19601541638.49""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""658319709954189.9""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6129""";"=""0.0111""";"=""0.3333""";"=""5.707""";"=""0.1399""";Значим (Хи-Квадрат OK)
"=""A003479""";Expansion of 1/((1-x)*(1-x-2*x^3)).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.6325;Успешно;"=""36.0""";"=""9636665.44""";"=""27746254.64""";"=""2.8792""";"=""3.6325""";"=""13.0913""";"=""1441940.75""";"=""58109709.25""";"=""14.36""";"=""5.1699""";"=""-0.0""";"=""0.7982""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.0287314983497235e+17""";"=""1.0""";"=""329806400.32""";"=""10.0""";"=""72147728.19""";"=""4.0234""";"=""19330460.87""";"=""172485203.25""";"=""1.0""";"=""0.0""";"=""0.0""";"=""88875384.19""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6396""";"=""0.002""";"=""0.3333""";"=""0.6168""";"=""0.0132""";Значим (Хи-Квадрат OK)
"=""A003480""";a(0) = 1, a(1) = 2, a(2) = 7, for n > 2, a(n) = 4*a(n-1) - 2*a(n-2).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.439;Успешно;"=""28.0""";"=""7636970378093.71""";"=""28893302889681.72""";"=""3.7833""";"=""4.439""";"=""18.8674""";"=""44834546560.0""";"=""33326311388159.95""";"=""19.09""";"=""4.8074""";"=""-0.0""";"=""0.4582""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.3408928793580934e+29""";"=""1.0""";"=""210762133867231.94""";"=""8.0""";"=""31877385538581.98""";"=""3.7762""";"=""14781387535215.11""";"=""158089554285657.5""";"=""1.0""";"=""0.0""";"=""0.0""";"=""91285.92""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5581""";"=""0.0068""";"=""0.2857""";"=""-1.0""";"=""0.0637""";Мало данных (Оценка по KL)
"=""A003481""";a(n) = 7*a(n-1) - a(n-2) + 5.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.2254;Успешно;"=""22.0""";"=""5.854569114891131e+16""";"=""2.297337085942724e+17""";"=""3.924""";"=""4.2254""";"=""16.2091""";"=""57195147650535.5""";"=""1.53646448042972e+17""";"=""17.94""";"=""4.4594""";"=""-0.0""";"=""0.3676""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.3232995103653189e+37""";"=""1.0""";"=""1.2776956679155092e+18""";"=""6.0""";"=""1.1175809345896168e+17""";"=""3.4519""";"=""1.1440239195219357e+17""";"=""1.1119810789498532e+18""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.6270917221407184e+17""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5192""";"=""0.015""";"=""0.3182""";"=""-1.0""";"=""0.2266""";Мало данных (Оценка по KL)
"=""A003482""";a(n) = 7*a(n-1) - a(n-2) + 4, with a(0) = 0, a(1) = 5.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.2254;Успешно;"=""22.0""";"=""1.6181631054588312e+16""";"=""6.349683538314412e+16""";"=""3.924""";"=""4.2254""";"=""16.2091""";"=""15808350012293.75""";"=""4.246683378893851e+16""";"=""17.94""";"=""4.4594""";"=""-0.0""";"=""0.3676""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0109108713269162e+36""";"=""1.0""";"=""3.5314639715614714e+17""";"=""6.0""";"=""3.0889177328479556e+16""";"=""3.4519""";"=""3.162004345672882e+16""";"=""3.0734401125238336e+17""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.0408331144888372e+16""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5192""";"=""0.0197""";"=""0.2381""";"=""-1.0""";"=""0.2008""";Мало данных (Оценка по KL)
"=""A003483""";Number of square permutations of n elements.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.6812;Успешно;"=""25.0""";"=""5.274734843814137e+21""";"=""2.4709377133666554e+22""";"=""4.6845""";"=""4.6812""";"=""19.9576""";"=""1475427973219200.0""";"=""4.3724135207371717e+21""";"=""22.97""";"=""4.4537""";"=""-0.0""";"=""0.3342""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.907979119793011e+47""";"=""1.0""";"=""1.3167422714160614e+23""";"=""6.0""";"=""3.728834747889477e+21""";"=""3.5843""";"=""1.0486248477131419e+22""";"=""1.2633053730609343e+23""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.1605455568618953e+40""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4937""";"=""0.0867""";"=""0.56""";"=""-1.0""";"=""0.456""";Нетипичный ряд
"=""A003484""";Radon function, also called Hurwitz-Radon numbers.;[Класс 18] Сверхсложная нелинейная форма, энтропия=1.5;Успешно;"=""102.0""";"=""2.57""";"=""2.55""";"=""0.9911""";"=""1.9347""";"=""2.7734""";"=""2.0""";"=""8.95""";"=""3.48""";"=""1.9482""";"=""1.5""";"=""1.3318""";"=""-0.3819""";"=""0.0231""";"=""-0.382""";"=""0.5303""";"=""-0.3822""";"=""46512.0""";"=""51.0""";"=""160.0""";"=""26.0""";"=""25.72""";"=""4.6916""";"=""3.88""";"=""659.1""";"=""0.4271""";"=""0.3385""";"=""0.2344""";"=""30.72""";"=""0.3015""";"=""-0.6471""";"=""0.0""";"=""0.3172""";"=""0.0894""";"=""0.5294""";"=""56.5295""";"=""0.6107""";Нетипичный ряд
"=""A003485""";Hurwitz-Radon function at powers of 2.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9994;Успешно;"=""63.0""";"=""62.73""";"=""36.36""";"=""0.5797""";"=""-0.0031""";"=""-1.2015""";"=""94.0""";"=""119.6""";"=""2.02""";"=""5.9773""";"=""-0.0""";"=""1.7955""";"=""0.9994""";"=""0.999""";"=""0.9994""";"=""1.0""";"=""0.9993""";"=""2624152.0""";"=""1.0""";"=""1263.92""";"=""6.0""";"=""233.46""";"=""4.2283""";"=""52.88""";"=""237.86""";"=""0.9702""";"=""0.0177""";"=""0.0121""";"=""203.89""";"=""0.0048""";"=""-0.1658""";"=""0.0""";"=""0.7981""";"=""0.0167""";"=""0.3016""";"=""12.3505""";"=""0.1294""";Значим (Хи-Квадрат OK)
"=""A003486""";a(n) = (n^2 + 1)*3^n.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.8305;Успешно;"=""22.0""";"=""300972889886.23""";"=""989330452414.16""";"=""3.2871""";"=""3.8305""";"=""13.6391""";"=""9107968718.25""";"=""1349327450113.65""";"=""14.65""";"=""4.4594""";"=""-0.0""";"=""0.5481""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""2.4316119463525e+26""";"=""1.0""";"=""6462990034476.79""";"=""6.0""";"=""994598676314.27""";"=""3.4267""";"=""571354752771.15""";"=""4848562593429.88""";"=""0.9995""";"=""0.0005""";"=""0.0""";"=""6.729051851201315e+20""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5573""";"=""0.0132""";"=""0.3182""";"=""-1.0""";"=""0.1445""";Мало данных (Оценка по KL)
"=""A003487""";a(n) = a(n-1)^2 - 2, with a(0) = 5.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""8.0""";"=""1.5660284947759317e+86""";"=""4.1433219432179285e+86""";"=""2.6458""";"=""2.2678""";"=""nan""";"=""8.848809227167043e+42""";"=""8.143348172834838e+86""";"=""7.0""";"=""3.0""";"=""-0.0""";"=""0.3768""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9995""";"=""6.278259830912438e+174""";"=""1.0""";"=""1.2528227958207456e+87""";"=""2.0""";"=""1.5616869260304286e+71""";"=""2.0""";"=""3.480063321724293e+86""";"=""1.2528227958207454e+87""";"=""1.0""";"=""0.0""";"=""0.0""";"=""1.4907061886546277e+108""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4679""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003488""";High temperature series for spin-1/2 Ising surface susceptibility on planar hexagonal lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""7.0""";"=""28722.29""";"=""54399.26""";"=""1.894""";"=""1.877""";"=""1.7605""";"=""20184.0""";"=""121443.6""";"=""4.73""";"=""2.8074""";"=""-0.0""";"=""0.7963""";"=""1.0""";"=""0.9998""";"=""0.9996""";"=""0.9994""";"=""1.0""";"=""72502346880.0""";"=""1.0""";"=""180228.24""";"=""2.0""";"=""19520.49""";"=""1.5735""";"=""48659.82""";"=""162518.9""";"=""0.9983""";"=""0.0017""";"=""0.0""";"=""12637789.53""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4679""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003489""";High temperature series for spin-1/2 Ising surface susceptibility on square lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""9.0""";"=""13395.11""";"=""24808.38""";"=""1.852""";"=""2.0228""";"=""2.63""";"=""9316.0""";"=""58605.6""";"=""5.24""";"=""3.1699""";"=""-0.0""";"=""1.0027""";"=""1.0""";"=""0.9998""";"=""0.9997""";"=""0.9991""";"=""0.9991""";"=""24925955584.0""";"=""1.0""";"=""103569.77""";"=""2.0""";"=""16895.41""";"=""1.9665""";"=""22005.02""";"=""84436.45""";"=""0.9969""";"=""0.0026""";"=""0.0005""";"=""3503358.96""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.533""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003490""";High temperature series for spin-1/2 Ising surface susceptibility on 3-dimensional simple cubic lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""11.0""";"=""12098930.55""";"=""30549859.26""";"=""2.525""";"=""2.6672""";"=""5.4223""";"=""2470581.0""";"=""63980265.0""";"=""8.02""";"=""3.4594""";"=""-0.0""";"=""0.6002""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""5.646428100276411e+16""";"=""1.0""";"=""127104479.74""";"=""3.0""";"=""13738951.19""";"=""2.3098""";"=""22302103.72""";"=""108976060.89""";"=""0.9996""";"=""0.0004""";"=""0.0""";"=""622994187933.52""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5099""";"=""0.061""";"=""0.2727""";"=""-1.0""";"=""0.4857""";Нетипичный ряд
"=""A003491""";High temperature series for spin-1/2 Ising surface susceptibility on f.c.c. lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""7.0""";"=""7258101.71""";"=""16023179.63""";"=""2.2076""";"=""2.0106""";"=""2.0957""";"=""2207720.0""";"=""33672681.6""";"=""5.47""";"=""2.8074""";"=""-0.0""";"=""0.7963""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""1.0""";"=""6290185994135552.0""";"=""1.0""";"=""48919312.28""";"=""2.0""";"=""2460918.09""";"=""1.5829""";"=""14535760.37""";"=""46537636.65""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""114151966376.19""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4585""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003492""";High temperature series for spin-1/2 Ising surface susceptibility on b.c.c. lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""8.0""";"=""3209326.0""";"=""7220549.64""";"=""2.2499""";"=""2.1891""";"=""2.9255""";"=""1075808.0""";"=""15459982.4""";"=""6.03""";"=""3.0""";"=""-0.0""";"=""0.7356""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""0.9997""";"=""1857184928790528.5""";"=""1.0""";"=""24396152.82""";"=""2.0""";"=""1927547.07""";"=""1.9943""";"=""6009631.32""";"=""22348364.3""";"=""0.9995""";"=""0.0005""";"=""0.0""";"=""53554118957.68""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4634""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003493""";High temperature series for spin-1/2 Ising surface susceptibility on square lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""10.0""";"=""22361.4""";"=""43972.49""";"=""1.9664""";"=""2.1811""";"=""3.3442""";"=""14650.5""";"=""103432.7""";"=""5.85""";"=""3.3219""";"=""-0.0""";"=""0.9404""";"=""1.0""";"=""0.9999""";"=""0.9997""";"=""0.9994""";"=""0.9989""";"=""102522469380.0""";"=""1.0""";"=""196270.68""";"=""3.0""";"=""32630.51""";"=""2.2841""";"=""37698.41""";"=""155828.21""";"=""0.9971""";"=""0.0028""";"=""0.0001""";"=""10438452.77""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5405""";"=""1.0""";"=""0.301""";"=""-1.0""";"=""4.0""";Слишком короткий
"=""A003494""";High temperature series for susceptibility for spherical model on b.c.c. lattice.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.594;Успешно;"=""17.0""";"=""586950511980.76""";"=""1962344691813.69""";"=""3.3433""";"=""3.594""";"=""11.2589""";"=""6117389760.0""";"=""2767762112020.79""";"=""13.35""";"=""4.0875""";"=""-0.0""";"=""0.4438""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.56440121631211e+26""";"=""1.0""";"=""9822365100845.59""";"=""4.0""";"=""936459722551.69""";"=""2.9909""";"=""1132357461096.61""";"=""8445045890740.65""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""4.24736307861138e+20""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5188""";"=""0.0125""";"=""0.2941""";"=""-1.0""";"=""0.1713""";Мало данных (Оценка по KL)
"=""A003495""";High temperature series for susceptibility for spherical model on f.c.c. lattice.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=3.6827;Успешно;"=""17.0""";"=""603499654123020.0""";"=""2153160911042427.0""";"=""3.5678""";"=""3.6827""";"=""11.7262""";"=""1157512059936.0""";"=""2614407117709854.0""";"=""14.3""";"=""4.0875""";"=""-0.0""";"=""0.4438""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""6.699167258275323e+32""";"=""1.0""";"=""1.0168460607900562e+16""";"=""4.0""";"=""662083087259680.0""";"=""2.9962""";"=""1176771058650402.8""";"=""9219827161525440.0""";"=""1.0""";"=""0.0""";"=""0.0""";"=""1.953853621607892e+26""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.5023""";"=""0.4158""";"=""0.8824""";"=""-1.0""";"=""1.5292""";Нетипичный ряд
"=""A003496""";High temperature series for spherical model internal energy on 3-dimensional simple cubic lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""11.0""";"=""17469281.55""";"=""48171458.4""";"=""2.7575""";"=""2.7747""";"=""5.8396""";"=""1436697.0""";"=""94619928.0""";"=""8.78""";"=""3.4594""";"=""-0.0""";"=""0.6002""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9998""";"=""1.4038960896587075e+17""";"=""1.0""";"=""187463186.3""";"=""3.0""";"=""13409840.67""";"=""2.3173""";"=""32985673.04""";"=""169947724.89""";"=""0.9997""";"=""0.0003""";"=""0.0""";"=""986568264009.58""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4855""";"=""0.0129""";"=""0.3636""";"=""-1.0""";"=""0.1911""";Мало данных (Оценка по KL)
"=""A003497""";Internal energy series for b.c.c. lattice.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""11.0""";"=""80258008304.09""";"=""240146990099.13""";"=""2.9922""";"=""2.8335""";"=""6.0563""";"=""1118303724.0""";"=""440297619648.0""";"=""9.5""";"=""3.4594""";"=""-0.0""";"=""0.3046""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.4890698996471903e+24""";"=""1.0""";"=""875161288117.0""";"=""3.0""";"=""27534605359.28""";"=""2.3211""";"=""164792146600.31""";"=""839780442476.46""";"=""1.0""";"=""0.0""";"=""0.0""";"=""3.9061087073414354e+18""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4796""";"=""0.0715""";"=""0.3636""";"=""-1.0""";"=""0.639""";Нетипичный ряд
